folder,param1,param2,best_delta_score,csv_name,c,d,corr_p
-20_-35,-20,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-22_-35,-22,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-24_-35,-24,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-26_-35,-26,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-28_-35,-28,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-30_-35,-30,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-5_-35,-5,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-6_-35,-6,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-7_-35,-7,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-8_-35,-8,-35,0.0365671520679511,CHEES_-35_5000.csv,-35,5000,0.0401653955518486
-16_-38,-16,-38,0.0365897795530929,CHEES_-35_5000.csv,-35,5000,0.0396722431699285
-18_-36,-18,-36,0.0366169306968641,CHEES_-35_5000.csv,-35,5000,0.0400241971766514
-14_-50,-14,-50,0.0366185795953258,CHEES_-35_4900.csv,-35,4900,0.0383076726833704
-16_-40,-16,-40,0.0366829133731533,CHEES_-35_5000.csv,-35,5000,0.039481523619098
-14_-52,-14,-52,0.036699288092698,CHEES_-35_4800.csv,-35,4800,0.0380800723977851
-18_-37,-18,-37,0.0367000642075682,CHEES_-35_5000.csv,-35,5000,0.0399318261755765
-14_-54,-14,-54,0.036708403174207,CHEES_-35_4800.csv,-35,4800,0.0380104035342849
-20_-36,-20,-36,0.0367117044514854,CHEES_-35_5000.csv,-35,5000,0.0401124820125721
-14_-56,-14,-56,0.0367239657601634,CHEES_-35_4800.csv,-35,4800,0.0379584695154122
-14_-58,-14,-58,0.0367521343564213,CHEES_-35_4800.csv,-35,4800,0.0379286691464367
-18_-38,-18,-38,0.0367976137007588,CHEES_-35_5000.csv,-35,5000,0.0398682771915209
-16_-42,-16,-42,0.0368074613900134,CHEES_-35_5000.csv,-35,5000,0.0393643833897681
-14_-60,-14,-60,0.03684324529048,CHEES_-35_4800.csv,-35,4800,0.0379726352585169
-22_-36,-22,-36,0.0368503134651083,CHEES_-35_5000.csv,-35,5000,0.0402433892681752
-16_-44,-16,-44,0.0368673373275773,CHEES_-35_4900.csv,-35,4900,0.0389536988069005
-16_-46,-16,-46,0.0369880614949992,CHEES_-35_4900.csv,-35,4900,0.0389138785224111
-18_-40,-18,-40,0.0370145757656144,CHEES_-35_5000.csv,-35,5000,0.0397963171353622
-24_-36,-24,-36,0.0370189587631113,CHEES_-35_5000.csv,-35,5000,0.0404020486315955
-20_-38,-20,-38,0.0370756913078434,CHEES_-35_5000.csv,-35,5000,0.0401297407341178
-22_-37,-22,-37,0.0371220650702151,CHEES_-35_5000.csv,-35,5000,0.0403290561852281
-20_-37,-20,-37,0.037127351650107,CHEES_-35_5100.csv,-35,5100,0.0406859041861196
-16_-48,-16,-48,0.0371478040091419,CHEES_-35_4900.csv,-35,4900,0.0389364886370464
-18_-42,-18,-42,0.0372624074721914,CHEES_-35_5000.csv,-35,5000,0.0397987669755541
-26_-36,-26,-36,0.0372690648445396,CHEES_-35_5000.csv,-35,5000,0.0406372614648094
-16_-50,-16,-50,0.0373028338463216,CHEES_-35_4900.csv,-35,4900,0.0389704254369619
-22_-38,-22,-38,0.0374364002720605,CHEES_-35_5000.csv,-35,5000,0.0404730518812678
-16_-52,-16,-52,0.0374412765385428,CHEES_-35_4900.csv,-35,4900,0.0390056628385918
-18_-44,-18,-44,0.0374426276505665,CHEES_-35_4900.csv,-35,4900,0.0395076143061948
-20_-40,-20,-40,0.0374476203929735,CHEES_-35_5000.csv,-35,5000,0.0402090844585102
-16_-54,-16,-54,0.0374640923060529,CHEES_-35_4800.csv,-35,4800,0.0387446426420269
-24_-37,-24,-37,0.0374925379640619,CHEES_-35_5000.csv,-35,5000,0.0406840510543854
-16_-56,-16,-56,0.03754530620964,CHEES_-35_4800.csv,-35,4800,0.0387585691502139
-16_-58,-16,-58,0.0376235871666335,CHEES_-35_4800.csv,-35,4800,0.0387800676614221
-18_-46,-18,-46,0.0376431714289067,CHEES_-35_4900.csv,-35,4900,0.0395466501048364
-28_-36,-28,-36,0.0376515555168883,CHEES_-35_5000.csv,-35,5000,0.0409993949667286
-16_-60,-16,-60,0.0377153898970029,CHEES_-35_4800.csv,-35,4800,0.0388237128512711
